"Respondent ID",Timestamp,"The resource speakers were knowledgeable and delivered the topics effectively.","The venue was fit for the activity.","The schedule of the program/activity was favorable to the participants and speakers.","The event met my expectations.","The activities were engaging and relevant.","I would recommend this event to others. Because it is very nice"
2017-01431,"2024-10-15 15:15:42",4,3,3,3,4,4
2017-01432,"2024-10-15 15:20:29",3,4,4,4,3,4
2017-01433,"2024-10-15 15:25:16",4,3,3,3,4,3
141,"2024-10-15 15:30:03",3,4,4,4,3,4
142,"2024-10-15 15:35:50",4,3,3,3,4,4
143,"2024-10-15 15:40:37",3,4,4,4,3,3
144,"2024-10-15 15:45:24",4,3,3,3,4,4
145,"2024-10-15 15:50:11",3,4,4,4,3,4
2017-01434,"2024-10-15 15:55:58",4,3,3,3,4,3
2017-01435,"2024-10-15 16:00:45",3,4,4,4,3,4
2017-01436,"2024-10-15 16:05:32",4,3,3,3,4,4
2017-01437,"2024-10-15 16:10:19",3,4,4,4,3,3
2017-01438,"2024-10-15 16:15:06",4,3,3,3,4,4
